날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2023-03-29,06:44,지출,생활,미분류,네이버파이낸셜주식회사,-13870,KRW,신한은행 The More,
2023-03-28,23:42,지출,생활,미분류,롯데하이마트(주),-65990,KRW,신한은행 The More,
2023-03-28,19:54,지출,카페/간식,미분류,다피타(da pit'ta),-46000,KRW,신한은행 The More,
2023-03-28,14:53,지출,생활,미분류,네이버파이낸셜주식회사,-13870,KRW,신한은행 The More,
2023-03-28,09:57,지출,미분류,미분류,구글플레이_TOSS,-2400,KRW,모두의 쇼핑,
2023-03-27,20:47,지출,생활,미분류,씨유(CU)마곡센트럴점,-2100,KRW,LOCA 롯데카드,
2023-03-27,16:40,지출,주거/통신,미분류,아파트관리비,-75470,KRW,신한은행 The More,
2023-03-27,13:45,지출,식사,미분류,한일생선구이전문점,-12000,KRW,LOCA 롯데카드,
2023-03-26,12:50,지출,생활,미분류,지에스25 마곡나루6단지점,-1600,KRW,모두의 쇼핑,
2023-03-26,12:27,지출,식사,미분류,네이버페이,-15000,KRW,신한은행 The More,
2023-03-25,20:43,지출,의복/미용,미분류,네이버파이낸셜(주),-64420,KRW,LOCA 롯데카드,
2023-03-24,14:05,지출,생활,미분류,(주)이마트에브리데이 남부터미널점,-3600,KRW,LOCA 롯데카드,
2023-03-24,13:36,지출,카페/간식,미분류,카페온,-500,KRW,신한은행 The More,
2023-03-24,13:27,지출,식사,미분류,허수아비,-9500,KRW,LOCA 롯데카드,
2023-03-23,21:29,지출,미분류,미분류,(주)티몬,-9900,KRW,신한은행 The More,
2023-03-23,20:08,지출,생활,미분류,(주)이마트에브리데이마곡나루점,-17100,KRW,모두의 쇼핑,
2023-03-23,13:27,지출,식사,미분류,주식회사 닥터키친,-44700,KRW,신한은행 The More,
2023-03-22,20:10,지출,생활,미분류,이마트 24 센트럴키오스크점,-2500,KRW,모두의 쇼핑,
2023-03-22,19:44,지출,식사,미분류,쉐이크쉑 센트럴시티점,-24400,KRW,모두의 쇼핑,
2023-03-22,16:35,지출,생활,미분류,네이버파이낸셜주식회사,-29720,KRW,신한은행 The More,
2023-03-22,13:07,지출,카페/간식,미분류,드리옹17,-40000,KRW,모두의 쇼핑,
2023-03-21,21:05,지출,식사,미분류,송계옥 신도림점,-71500,KRW,모두의 쇼핑,
2023-03-21,18:11,지출,카페/간식,미분류,주식회사 에스씨케이컴퍼니,-3900,KRW,신한은행 The More,
2023-03-21,10:41,지출,의료/건강,미분류,서리풀약국,-9000,KRW,모두의 쇼핑,
2023-03-20,19:07,지출,카페/간식,미분류,주식회사 에스씨케이컴퍼니,-3900,KRW,신한은행 The More,
2023-03-20,08:42,지출,식사,미분류,NICE결제대행,-6600,KRW,신한은행 The More,
2023-03-19,14:26,지출,교통,미분류,경기시내버스_이비,-1450,KRW,모두의 쇼핑,
2023-03-19,14:26,지출,교통,미분류,티머니 지하철,-1350,KRW,모두의 쇼핑,
2023-03-18,21:46,지출,미분류,미분류,네이버파이낸셜(주),-52720,KRW,모두의 쇼핑,
2023-03-18,17:34,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-25580,KRW,신한은행 The More,
2023-03-18,16:06,지출,의료/건강,미분류,삼성웰약국,-8400,KRW,모두의 쇼핑,
2023-03-18,15:33,지출,카페/간식,미분류,감성커피 미사역점,-5500,KRW,모두의 쇼핑,
2023-03-18,14:45,지출,교통,미분류,티머니 버스,-2400,KRW,모두의 쇼핑,
2023-03-17,22:18,지출,식사,미분류,(주)우아한형제들_KCP,-21500,KRW,모두의 쇼핑,
2023-03-17,19:33,지출,생활,미분류,GS25서울대입구역점,-7100,KRW,모두의 쇼핑,
2023-03-17,19:04,지출,생활,미분류,지에스 더 프레시 미사점,-2490,KRW,모두의 쇼핑,
2023-03-17,13:55,지출,미분류,미분류,카카오쇼핑하기_카카오페이,-16900,KRW,LOCA 롯데카드,
2023-03-17,13:18,지출,식사,미분류,허수아비,-10000,KRW,모두의 쇼핑,
2023-03-17,08:46,지출,식사,미분류,NICE_통신판매,-2500,KRW,LOCA 롯데카드,
2023-03-17,08:44,지출,문화/여가,미분류,메가박스_KPN,-24000,KRW,LOCA 롯데카드,
2023-03-16,22:24,지출,카페/간식,미분류,아이스조아 18호점,-1800,KRW,LOCA 롯데카드,
2023-03-16,22:20,지출,교통,미분류,카카오페이(택시),-14200,KRW,LOCA 롯데카드,
2023-03-16,21:56,지출,교통,미분류,카카오페이(택시),13000,KRW,LOCA 롯데카드,
2023-03-16,21:56,지출,교통,미분류,카카오페이(택시),-13000,KRW,LOCA 롯데카드,
2023-03-15,17:42,지출,문화/여가,미분류,네이버페이,-12900,KRW,LOCA 롯데카드,
2023-03-15,14:37,지출,문화/여가,미분류,네이버페이,-63500,KRW,LOCA 롯데카드,
2023-03-15,13:55,지출,식사,미분류,매화,-10000,KRW,LOCA 롯데카드,
2023-03-15,09:25,지출,주거/통신,미분류,LOCA,-23100,KRW,LOCA 롯데카드,
2023-03-15,08:03,지출,카페/간식,미분류,스타벅스_사이렌오더,-4200,KRW,LOCA 롯데카드,
2023-03-14,20:37,지출,미분류,미분류,티몬,-36000,KRW,LOCA 롯데카드,
2023-03-14,19:04,지출,생활,미분류,다이소 신방화역점,-9000,KRW,LOCA 롯데카드,
2023-03-14,13:27,지출,카페/간식,미분류,카페온,-500,KRW,LOCA 롯데카드,
2023-03-14,13:16,지출,식사,미분류,주식회사 장꼬방,-9000,KRW,LOCA 롯데카드,
2023-03-13,19:50,지출,생활,미분류,(주)골드그린마트,-1800,KRW,LOCA 롯데카드,
2023-03-13,19:20,지출,카페/간식,미분류,PAYCO오더,-15500,KRW,LOCA 롯데카드,
2023-03-12,18:34,지출,생활,미분류,이마트24 신방화점,-9290,KRW,LOCA 롯데카드,
2023-03-12,13:49,지출,생활,미분류,세븐일레븐 부천원종로점,-8250,KRW,LOCA 롯데카드,
2023-03-12,08:22,지출,생활,미분류,씨유 하남미사점,-1860,KRW,LOCA 롯데카드,
2023-03-12,08:21,지출,생활,미분류,지에스(GS)25 미사한신점,-9850,KRW,LOCA 롯데카드,
2023-03-11,17:31,지출,생활,미분류,주식회사조양마트,-16480,KRW,LOCA 롯데카드,
2023-03-10,23:20,지출,생활,미분류,지에스 더 프레시 미사점,-29560,KRW,LOCA 롯데카드,
2023-03-10,21:43,지출,식사,미분류,안철순,-26000,KRW,LOCA 롯데카드,
2023-03-10,18:46,지출,카페/간식,미분류,스타벅스코리아,-4000,KRW,LOCA 롯데카드,
2023-03-10,08:35,지출,식사,미분류,NICE결제대행,-5700,KRW,신한은행 The More,
2023-03-09,19:18,지출,생활,미분류,씨유(CU)마곡센트럴점,-6700,KRW,신한은행 The More,
2023-03-09,08:33,지출,식사,미분류,NICE결제대행,-6800,KRW,신한은행 The More,
2023-03-08,18:44,지출,식사,미분류,북창동순두부 (서초점),-11500,KRW,LOCA 롯데카드,
2023-03-08,08:36,지출,식사,미분류,NICE_통신판매,-900,KRW,LOCA 롯데카드,
2023-03-08,08:35,지출,식사,미분류,NICE결제대행,-5800,KRW,신한은행 The More,
2023-03-07,19:31,지출,식사,미분류,시래마루강동점,-13000,KRW,LOCA 롯데카드,
2023-03-07,13:00,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-03-06,19:35,지출,생활,미분류,(주)골드그린마트,-18670,KRW,LOCA 롯데카드,
2023-03-06,19:30,지출,생활,미분류,지에스25(GS25)마곡나루점,-2750,KRW,LOCA 롯데카드,
2023-03-06,08:42,지출,식사,미분류,NICE_통신판매,-5900,KRW,LOCA 롯데카드,
2023-03-04,20:45,지출,식사,미분류,김밥천국,-4000,KRW,LOCA 롯데카드,
2023-03-04,19:13,지출,카페/간식,미분류,놀숲서울대입구점,-47000,KRW,LOCA 롯데카드,
2023-03-04,13:17,지출,카페/간식,미분류,메가엠지씨커피미사역점,-2000,KRW,신한은행 The More,
2023-03-03,22:30,지출,식사,미분류,(주)우아한형제들,-21000,KRW,LOCA 롯데카드,
2023-03-03,22:06,지출,교통,미분류,티머니택시_0,-6800,KRW,LOCA 롯데카드,
2023-03-03,21:32,지출,카페/간식,미분류,블랙모티브,-4500,KRW,LOCA 롯데카드,
2023-03-03,21:30,지출,카페/간식,미분류,블랙모티브,-6000,KRW,LOCA 롯데카드,
2023-03-03,21:24,지출,식사,미분류,대신수산,-102000,KRW,LOCA 롯데카드,
2023-03-03,18:04,지출,카페/간식,미분류,(주)케이지이니시스,-5900,KRW,신한은행 The More,
2023-03-03,09:48,지출,식사,미분류,네이버페이,-24137,KRW,신한은행 The More,
2023-03-03,08:35,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-03-02,19:07,지출,생활,미분류,주식회사 아성다이소,-2000,KRW,신한은행 The More,
2023-03-02,18:33,지출,식사,미분류,푸드카페 김밥천국 신논현역점,-10000,KRW,신한은행 The More,
2023-03-02,08:33,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-03-01,18:04,지출,문화/여가,미분류,KCP-알라딘커뮤니케이션,-19,KRW,KT BIGPOT Plus(빅팟 플러스) 카드,
2023-03-01,18:02,지출,문화/여가,미분류,문화비(알라딘)_KCP,-149,KRW,KT BIGPOT Plus(빅팟 플러스) 카드,
2023-03-01,16:58,지출,카페/간식,미분류,얼음과자(마곡나루점),-5800,KRW,신한은행 The More,
2023-03-01,13:39,지출,식사,미분류,(주)우아한형제들,-34500,KRW,신한은행 The More,
2023-03-01,10:44,지출,문화/여가,미분류,카카오_카카오페이,-38333,KRW,신한은행 The More,
2023-02-28,21:42,지출,카페/간식,미분류,파리바게뜨충무로역,-8700,KRW,신한은행 The More,
2023-02-28,21:29,지출,식사,미분류,진포식당,-39000,KRW,신한은행 The More,
2023-02-28,08:28,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-27,20:37,지출,생활,미분류,(주)골드그린마트,-5580,KRW,신한은행 The More,
2023-02-27,08:36,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-27,00:23,지출,생활,미분류,GS25 봉천 낙성점,-11500,KRW,신한은행 The More,
2023-02-26,20:50,지출,카페/간식,미분류,KOCES_자판기_일반,-3000,KRW,신한은행 The More,
2023-02-26,20:43,지출,카페/간식,미분류,벌툰 신림점,-12000,KRW,신한은행 The More,
2023-02-26,18:38,지출,식사,미분류,작은피자집,-44000,KRW,신한은행 The More,
2023-02-26,17:07,지출,카페/간식,미분류,카페 우야우(cafe ooyaoo),-7600,KRW,신한은행 The More,
2023-02-26,16:26,지출,카페/간식,미분류,헬무트커피로스터스,-20500,KRW,신한은행 The More,
2023-02-23,22:27,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-10980,KRW,신한은행 The More,
2023-02-23,22:26,지출,생활,미분류,(주)이마트에브리데이마곡나루점,-1580,KRW,모두의 쇼핑,
2023-02-23,19:29,지출,카페/간식,미분류,주식회사 에스씨케이컴퍼니,-12900,KRW,신한은행 The More,
2023-02-23,19:25,지출,식사,미분류,레몬그라스 타이,-31000,KRW,신한은행 The More,
2023-02-23,13:26,지출,식사,미분류,매화,-10000,KRW,신한은행 The More,
2023-02-23,08:32,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-23,01:11,지출,생활,미분류,CU 관악이글점,-1400,KRW,신한은행 The More,
2023-02-23,00:43,지출,카페/간식,미분류,자판기3,-1200,KRW,신한은행 The More,
2023-02-23,00:12,지출,식사,미분류,삼촌숯불곱창,-169100,KRW,신한은행 The More,
2023-02-22,16:47,지출,주거/통신,미분류,아파트관리비,-83730,KRW,신한은행 The More,
2023-02-22,13:39,지출,생활,미분류,(주)이마트에브리데이 남부터미널점,-4650,KRW,신한은행 The More,
2023-02-22,13:20,지출,식사,미분류,단풍애 김밥 남부터미널점,-5000,KRW,신한은행 The More,
2023-02-22,08:35,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-21,19:40,지출,생활,미분류,주식회사 아성다이소,-2000,KRW,신한은행 The More,
2023-02-21,18:55,지출,식사,미분류,북창동순두부 (서초점),-11500,KRW,신한은행 The More,
2023-02-20,08:39,지출,카페/간식,미분류,바나프레소 남부터미널점,-1300,KRW,신한은행 The More,
2023-02-20,08:31,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-19,18:09,지출,문화/여가,미분류,구글페이먼트,-2400,KRW,LOCA 롯데카드,
2023-02-18,18:18,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-8980,KRW,신한은행 The More,
2023-02-18,17:58,지출,식사,미분류,(주)우아한형제들,-10900,KRW,신한은행 The More,
2023-02-18,17:35,지출,문화/여가,미분류,알라딘중고서점 (잠실점)문화비,-15100,KRW,신한은행 The More,
2023-02-18,12:01,지출,생활,미분류,GS25 봉천 낙성점,-7800,KRW,신한은행 The More,
2023-02-18,09:59,지출,카페/간식,미분류,주식회사 에스씨케이컴퍼니,-4500,KRW,신한은행 The More,
2023-02-18,09:50,지출,식사,미분류,오월의김밥,-14500,KRW,신한은행 The More,
2023-02-17,21:42,지출,식사,미분류,과일에반하다프루타 미사점,-3000,KRW,신한은행 The More,
2023-02-17,21:40,지출,식사,미분류,빈이네양꼬치,-60000,KRW,신한은행 The More,
2023-02-17,08:31,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-16,13:30,지출,생활,미분류,우정사업본부(우체국),-4340,KRW,신한은행 The More,
2023-02-16,13:14,지출,생활,미분류,공공기관_KPN,-400,KRW,신한은행 The More,
2023-02-16,08:34,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-15,19:29,지출,생활,미분류,(주)골드그린마트,-14900,KRW,LOCA 롯데카드,
2023-02-15,19:04,지출,식사,미분류,(주)우아한형제들_TOSS,-19425,KRW,모두의 쇼핑,
2023-02-15,09:22,지출,주거/통신,미분류,LOCA,-23100,KRW,LOCA 롯데카드,
2023-02-15,08:28,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-14,19:58,지출,생활,미분류,(주)골드그린마트,-1980,KRW,모두의 쇼핑,
2023-02-14,19:56,지출,식사,미분류,수라면가,-14000,KRW,신한은행 The More,
2023-02-14,13:22,지출,생활,미분류,공공기관_KPN,-2800,KRW,신한은행 The More,
2023-02-14,08:27,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-13,19:31,지출,식사,미분류,명가통닭 마곡나루점,-9900,KRW,신한은행 The More,
2023-02-13,08:34,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-13,08:22,지출,식사,미분류,네이버페이,-26800,KRW,신한은행 The More,
2023-02-12,10:19,지출,카페/간식,미분류,식사준비 마곡나루,-10900,KRW,신한은행 The More,
2023-02-11,20:01,지출,식사,미분류,마리짱,-7500,KRW,신한은행 The More,
2023-02-11,12:39,지출,생활,미분류,지에스더프레시미사점,-8790,KRW,신한은행 The More,
2023-02-11,12:39,지출,생활,미분류,지에스 더 프레시 미사점,-21820,KRW,모두의 쇼핑,
2023-02-11,09:52,지출,카페/간식,미분류,스타벅스_사이렌오더,-5000,KRW,LOCA 롯데카드,
2023-02-10,22:07,지출,생활,미분류,GS25 봉천 낙성점,-11000,KRW,신한은행 The More,
2023-02-10,21:55,지출,카페/간식,미분류,Apple,-9900,KRW,신한은행 The More,
2023-02-10,21:27,지출,식사,미분류,BKR버거킹사당역점,-1800,KRW,LOCA 롯데카드,
2023-02-10,11:51,지출,카페/간식,미분류,(주)케이지이니시스,-5500,KRW,신한은행 The More,
2023-02-10,11:10,지출,카페/간식,미분류,주식회사 에스씨케이컴퍼니,-5500,KRW,신한은행 The More,
2023-02-10,11:05,지출,카페/간식,미분류,스타벅스_사이렌오더,-22600,KRW,LOCA 롯데카드,
2023-02-10,08:26,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-09,20:49,지출,생활,미분류,씨유(CU)마곡센트럴점,-11000,KRW,LOCA 롯데카드,
2023-02-09,19:21,지출,생활,미분류,(주)다이소아성산업,-4000,KRW,모두의 쇼핑,
2023-02-09,19:17,지출,생활,미분류,(주)다이소아성산업,-4000,KRW,모두의 쇼핑,
2023-02-09,15:01,지출,교육,미분류,선물하기_카카오페이,-9800,KRW,신한은행 The More,
2023-02-09,08:40,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-08,08:31,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-08,08:20,지출,경조사,미분류,지마켓,-459570,KRW,LOCA 롯데카드,
2023-02-07,19:37,지출,식사,미분류,시래마루 강동점,-16000,KRW,모두의 쇼핑,
2023-02-07,08:30,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-06,08:37,지출,식사,미분류,NICE결제대행,-5700,KRW,신한은행 The More,
2023-02-04,21:10,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-5940,KRW,신한은행 The More,
2023-02-04,21:09,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-5980,KRW,신한은행 The More,
2023-02-04,14:09,지출,의복/미용,미분류,(주)현대백화점천호점,-42000,KRW,신한은행 The More,
2023-02-04,14:01,지출,의복/미용,미분류,(주)현대백화점천호점,-9200,KRW,신한은행 The More,
2023-02-04,10:36,지출,카페/간식,미분류,스타벅스코리아,-5000,KRW,모두의 쇼핑,
2023-02-04,10:33,지출,카페/간식,미분류,주식회사 쟝블랑제리,-17700,KRW,신한은행 The More,
2023-02-04,10:25,지출,생활,미분류,지에스더프레시미사점,-27990,KRW,신한은행 The More,
2023-02-03,23:46,지출,생활,미분류,씨유(CU) 행운야베스점,-12700,KRW,신한은행 The More,
2023-02-03,22:47,지출,생활,미분류,지에스 더 프레시 미사점,-29070,KRW,모두의 쇼핑,
2023-02-03,19:31,지출,의료/건강,미분류,미즈컨테이너강남웨스트(주)에스,-46300,KRW,모두의 쇼핑,
2023-02-03,18:29,지출,카페/간식,미분류,스타벅스코리아,-3300,KRW,모두의 쇼핑,
2023-02-03,09:48,지출,식사,미분류,네이버페이,-24137,KRW,신한은행 The More,
2023-02-03,08:39,지출,식사,미분류,NICE결제대행,-900,KRW,신한은행 The More,
2023-02-03,08:31,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-02,08:41,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-01,18:05,지출,생활,미분류,(주)이마트에브리데이 남부터미널점,-13980,KRW,신한은행 The More,
2023-02-01,18:04,지출,문화/여가,미분류,KCP-알라딘커뮤니케이션,-19,KRW,KT BIGPOT Plus(빅팟 플러스) 카드,
2023-02-01,18:02,지출,문화/여가,미분류,문화비(알라딘)_KCP,-149,KRW,KT BIGPOT Plus(빅팟 플러스) 카드,
2023-02-01,08:37,지출,식사,미분류,NICE_통신판매,-1100,KRW,LOCA 롯데카드,
2023-02-01,08:36,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-01-31,08:35,지출,식사,미분류,NICE_통신판매,-2700,KRW,LOCA 롯데카드,
2023-01-31,07:41,지출,식사,미분류,네이버페이,-12870,KRW,신한은행 The More,
2023-01-30,22:12,지출,생활,미분류,씨유(CU)마곡센트럴점,-7500,KRW,신한은행 The More,
2023-01-30,21:45,지출,식사,미분류,쿠팡(주),-35950,KRW,신한은행 The More,
2023-01-30,21:14,지출,미분류,미분류,대표_네이버페이_1,-34870,KRW,신한은행 The More,
2023-01-30,13:36,지출,카페/간식,미분류,고품격커피공장(서일점),-3800,KRW,모두의 쇼핑,
2023-01-30,08:41,지출,식사,미분류,NICE_통신판매,-2700,KRW,LOCA 롯데카드,
2023-01-29,22:23,지출,미분류,미분류,(주)우아한형제들_TOSS,-22500,KRW,모두의 쇼핑,
2023-01-28,22:56,지출,카페/간식,미분류,빵꾸똥꾸야 마곡나루점,-2200,KRW,모두의 쇼핑,
2023-01-28,22:53,지출,생활,미분류,(주)이마트에브리데이마곡나루점,-3000,KRW,모두의 쇼핑,
2023-01-28,20:57,지출,카페/간식,미분류,놀숲서울대입구점,-55700,KRW,LOCA 롯데카드,
2023-01-28,14:46,지출,카페/간식,미분류,듀레스트,-8000,KRW,모두의 쇼핑,
2023-01-28,14:36,지출,식사,미분류,시골집,-28000,KRW,LOCA 롯데카드,
2023-01-28,11:07,지출,카페/간식,미분류,커피나무 미사역점,-4300,KRW,LOCA 롯데카드,
2023-01-27,23:00,지출,생활,미분류,지에스 더 프레시 미사점,-21680,KRW,LOCA 롯데카드,
2023-01-27,22:49,지출,카페/간식,미분류,몽마베이커리,-5500,KRW,LOCA 롯데카드,
2023-01-27,22:43,지출,식사,미분류,딱 좋아,-77000,KRW,모두의 쇼핑,
2023-01-27,19:41,지출,생활,미분류,(주)다이소아성산업,-4000,KRW,LOCA 롯데카드,
2023-01-27,08:27,지출,식사,미분류,NICE_통신판매,-5900,KRW,LOCA 롯데카드,
2023-01-26,14:37,지출,교통,미분류,티머니 지하철,-1650,KRW,모두의 쇼핑,
2023-01-26,14:37,지출,교통,미분류,티머니 버스,-1200,KRW,모두의 쇼핑,
2023-01-26,14:37,지출,교통,미분류,경기시내버스_이비,-250,KRW,모두의 쇼핑,
2023-01-26,08:21,지출,식사,미분류,NICE_통신판매,-5900,KRW,LOCA 롯데카드,
